"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.7k,1.224257m,100k,759.8482u
117.98k,535.5322u,100.02k,424.7268u
119.32k,439.5141u,100.04k,94.70672u
122.86k,1.044114m,100.06k,432.8034u
128.32k,783.7912u,100.08k,531.8969u
185.42k,434.96u,100.1k,545.1906u
242.26k,845.08u,100.12k,543.3334u
243.44k,759.6636u,100.14k,541.1313u
284.86k,722.5266u,100.16k,540.2914u
287.22k,647.7264u,100.18k,534.2529u
295.62k,640.2591u,100.2k,521.6418u
301.54k,969.6126u,100.22k,513.8942u
319.92k,1.907393m,100.24k,515.7988u
324.38k,5.877968m,100.26k,514.4662u
337.82k,1.151378m,100.28k,507.7971u
343.66k,2.688307m,100.3k,503.8287u
359.72k,4.92488m,100.32k,497.383u
361.16k,6.156631m,100.34k,485.5494u
366.54k,2.787275m,100.36k,474.9707u
375.24k,1.353564m,100.38k,468.5969u
385.76k,538.7705u,100.4k,465.1854u
421.22k,418.553u,100.42k,467.6274u
423.52k,466.5046u,100.44k,475.3883u
568.36k,570.5098u,100.46k,475.3897u
973.36k,1.043256m,100.48k,460.6587u
,,100.5k,445.3708u
,,100.52k,440.3985u
,,100.54k,437.5985u
,,100.56k,433.0084u
,,100.58k,431.0897u
,,100.6k,431.9973u
,,100.62k,433.7337u
,,100.64k,432.1644u
,,100.66k,427.5924u
,,100.68k,419.5256u
,,100.7k,412.6038u
,,100.72k,412.6707u
,,100.74k,409.9461u
,,100.76k,396.2655u
,,100.78k,380.5948u
,,100.8k,378.0747u
,,100.82k,383.8093u
,,100.84k,383.463u
,,100.86k,371.6103u
,,100.88k,355.5051u
,,100.9k,351.979u
,,100.92k,354.9577u
,,100.94k,348.302u
,,100.96k,346.4275u
,,100.98k,355.6905u
,,101k,352.5275u
,,101.02k,339.5716u
,,101.04k,332.9106u
,,101.06k,326.0852u
,,101.08k,317.6483u
,,101.1k,316.1223u
,,101.12k,320.2769u
,,101.14k,314.9647u
,,101.16k,295.9725u
,,101.18k,286.9853u
,,101.2k,290.1765u
,,101.22k,286.1978u
,,101.24k,281.6796u
,,101.26k,285.9062u
,,101.28k,291.7591u
,,101.3k,291.7254u
,,101.32k,283.2257u
,,101.34k,269.4287u
,,101.36k,258.8525u
,,101.38k,253.0567u
,,101.4k,241.7589u
,,101.42k,227.4721u
,,101.44k,219.5618u
,,101.46k,221.5218u
,,101.48k,229.1019u
,,101.5k,234.5937u
,,101.52k,233.2611u
,,101.54k,221.7013u
,,101.56k,206.2953u
,,101.58k,201.1703u
,,101.6k,198.7028u
,,101.62k,189.7776u
,,101.64k,183.9555u
,,101.66k,179.9703u
,,101.68k,174.0044u
,,101.7k,173.0476u
,,101.72k,175.9777u
,,101.74k,178.6056u
,,101.76k,183.6215u
,,101.78k,187.6261u
,,101.8k,189.9207u
,,101.82k,196.662u
,,101.84k,205.6935u
,,101.86k,211.6166u
,,101.88k,217.2493u
,,101.9k,227.8538u
,,101.92k,244.5018u
,,101.94k,263.5264u
,,101.96k,280.6755u
,,101.98k,297.6397u
,,102k,311.23u
,,102.02k,320.3378u
,,102.04k,339.206u
,,102.06k,368.4793u
,,102.08k,391.6652u
,,102.1k,405.3031u
,,102.12k,422.7225u
,,102.14k,450.4043u
,,102.16k,475.802u
,,102.18k,498.0873u
,,102.2k,529.2419u
,,102.22k,565.696u
,,102.24k,600.3014u
,,102.26k,633.4384u
,,102.28k,669.0955u
,,102.3k,707.06u
,,102.32k,735.9528u
,,102.34k,769.2897u
