sp001,300.00,0.00
sp002,295.00,0.00
sp003,290.00,0.00
sp004,285.00,0.00
sp005,280.00,0.00
sp006,275.00,0.00
sp007,270.00,0.00
sp008,265.00,0.00
sp009,260.00,0.00
sp010,255.00,0.00
sp011,250.00,0.00
sp012,245.00,0.00
sp013,240.00,0.00
sp014,235.00,0.00
sp015,230.00,0.00
sp016,225.00,0.00
sp017,220.00,0.00
sp018,215.00,0.00
sp019,210.00,0.00
sp020,205.00,0.00
sp021,200.00,0.00
sp022,195.00,0.00
sp023,190.00,0.00
sp024,185.00,0.00
sp025,180.00,0.00
sp026,175.00,0.00
sp027,170.00,0.00
sp028,165.00,0.00
sp029,160.00,0.00
sp030,155.00,0.00
sp031,150.00,0.00
sp032,145.00,0.00
sp033,140.00,0.00
sp034,135.00,0.00
sp035,130.00,0.00
sp036,125.00,0.00
sp037,120.00,0.00
sp038,115.00,0.00
sp039,110.00,0.00
sp040,105.00,0.00
sp041,100.00,0.00
