"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.7k,1.285789m,100k,773.1966u
118.06k,611.6006u,100.02k,434.5127u
119.72k,496.9276u,100.04k,91.92284u
122.76k,1.16041m,100.06k,436.0908u
128.34k,778.6876u,100.08k,538.2546u
242.68k,720.7578u,100.1k,554.1893u
243.76k,694.6123u,100.12k,552.4247u
285.84k,845.364u,100.14k,548.0235u
287.44k,819.9011u,100.16k,546.5456u
301.58k,1.184596m,100.18k,544.0408u
325.02k,4.814041m,100.2k,538.9552u
340.2k,1.173346m,100.22k,535.1946u
344.06k,2.68143m,100.24k,528.7693u
360.1k,5.667474m,100.26k,518.9342u
361.7k,7.479448m,100.28k,511.8767u
367.2k,3.787187m,100.3k,507.4331u
423.86k,498.305u,100.32k,504.6706u
436.18k,507.5704u,100.34k,500.8989u
569.04k,687.5582u,100.36k,497.7893u
974.46k,1.089713m,100.38k,501.979u
,,100.4k,504.5927u
,,100.42k,495.5095u
,,100.44k,480.5364u
,,100.46k,469.901u
,,100.48k,467.9695u
,,100.5k,469.7532u
,,100.52k,472.3709u
,,100.54k,477.6967u
,,100.56k,479.0341u
,,100.58k,471.8579u
,,100.6k,459.8135u
,,100.62k,445.6321u
,,100.64k,438.5949u
,,100.66k,440.5301u
,,100.68k,434.9469u
,,100.7k,416.3828u
,,100.72k,403.0157u
,,100.74k,405.5686u
,,100.76k,409.5779u
,,100.78k,406.2911u
,,100.8k,407.7996u
,,100.82k,416.0764u
,,100.84k,417.9975u
,,100.86k,407.8614u
,,100.88k,392.4628u
,,100.9k,383.1419u
,,100.92k,384.799u
,,100.94k,394.123u
,,100.96k,398.9421u
,,100.98k,387.1692u
,,101k,373.484u
,,101.02k,370.3747u
,,101.04k,366.0364u
,,101.06k,359.5413u
,,101.08k,351.0244u
,,101.1k,340.5762u
,,101.12k,339.8779u
,,101.14k,344.3846u
,,101.16k,336.9014u
,,101.18k,321.8902u
,,101.2k,318.1231u
,,101.22k,325.9573u
,,101.24k,328.4756u
,,101.26k,320.2433u
,,101.28k,301.8737u
,,101.3k,280.1782u
,,101.32k,269.6847u
