"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.68k,1.279344m,100k,773.0137u
118.06k,609.9998u,100.02k,427.2958u
119.5k,489.4019u,100.04k,108.922u
122.86k,1.145586m,100.06k,448.3132u
128.26k,750.2362u,100.08k,540.4339u
242.76k,708.7486u,100.1k,548.02u
243.86k,697.1726u,100.12k,543.3937u
285.8k,727.6971u,100.14k,541.3917u
287.54k,727.8057u,100.16k,541.1105u
301.56k,1.118687m,100.18k,537.6243u
324.94k,5.114871m,100.2k,533.268u
338.56k,1.143411m,100.22k,526.851u
339.3k,1.134426m,100.24k,517.1385u
344.02k,2.636321m,100.26k,511.441u
360.14k,5.27946m,100.28k,511.2343u
361.64k,6.937746m,100.3k,513.9711u
367.14k,3.394177m,100.32k,512.0807u
376.08k,1.307966m,100.34k,501.5112u
386.5k,504.5951u,100.36k,495.9034u
421.48k,450.5497u,100.38k,494.5177u
423.9k,538.7394u,100.4k,484.2806u
436.14k,524.2839u,100.42k,472.1327u
568.96k,672.8901u,100.44k,469.6618u
974.26k,1.083005m,100.46k,471.5893u
,,100.48k,473.2785u
,,100.5k,473.2923u
,,100.52k,465.3619u
,,100.54k,456.0815u
,,100.56k,449.9818u
,,100.58k,440.4522u
,,100.6k,431.9794u
,,100.62k,427.7352u
,,100.64k,424.44u
,,100.66k,425.5518u
,,100.68k,430.4196u
,,100.7k,432.8764u
,,100.72k,427.1088u
,,100.74k,413.6331u
,,100.76k,407.7039u
,,100.78k,413.0645u
,,100.8k,419.3654u
,,100.82k,422.9558u
,,100.84k,418.8668u
,,100.86k,403.8205u
,,100.88k,385.0847u
,,100.9k,376.2491u
,,100.92k,378.0177u
,,100.94k,373.989u
,,100.96k,368.6237u
,,100.98k,372.1601u
,,101k,375.1425u
,,101.02k,372.9314u
,,101.04k,366.3192u
,,101.06k,356.7683u
,,101.08k,349.1225u
,,101.1k,339.6783u
,,101.12k,323.8238u
,,101.14k,307.4112u
,,101.16k,297.3443u
,,101.18k,295.7959u
,,101.2k,299.7642u
,,101.22k,297.5212u
,,101.24k,283.5773u
,,101.26k,273.1257u
,,101.28k,276.7195u
,,101.3k,283.3877u
,,101.32k,278.1793u
,,101.34k,266.9875u
,,101.36k,266.0094u
,,101.38k,272.362u
,,101.4k,275.0048u
,,101.42k,273.1235u
,,101.44k,269.5239u
,,101.46k,259.4969u
,,101.48k,242.4904u
,,101.5k,230.0979u
,,101.52k,223.9746u
,,101.54k,220.6326u
,,101.56k,223.7541u
,,101.58k,224.5803u
,,101.6k,216.2657u
,,101.62k,203.7769u
,,101.64k,191.6956u
,,101.66k,187.486u
,,101.68k,193.4246u
,,101.7k,197.9142u
,,101.72k,198.5601u
,,101.74k,201.2811u
,,101.76k,205.4102u
,,101.78k,209.889u
,,101.8k,216.6384u
,,101.82k,226.4354u
,,101.84k,235.5195u
,,101.86k,244.1879u
,,101.88k,255.4926u
,,101.9k,268.3705u
,,101.92k,283.8579u
,,101.94k,303.552u
,,101.96k,321.3113u
