"Frequency, Hz - Peaks"	Magnitude (V) - Peaks	"Frequency, Hz - Signal"	Magnitude (V) - Signal
		515.72k	87.25893u
		515.78k	82.19885u
		515.84k	81.07852u
		515.9k	88.12113u
		515.96k	84.94869u
		516.02k	87.6167u
		516.08k	88.78829u
		516.14k	87.01561u
		516.2k	88.02894u
		516.26k	87.78798u
		516.32k	86.28927u
		516.38k	88.97237u
		516.44k	86.45136u
		516.5k	81.32091u
		516.56k	87.28246u
		516.62k	92.84126u
		516.68k	90.27947u
		516.74k	86.05215u
		516.8k	90.03151u
		516.86k	87.80888u
		516.92k	94.16142u
		516.98k	93.12715u
		517.04k	90.09286u
		517.1k	90.81603u
		517.16k	91.79809u
		517.22k	88.15696u
		517.28k	91.17591u
		517.34k	98.19686u
		517.4k	100.9928u
		517.46k	92.01024u
		517.52k	94.45664u
		517.58k	99.3422u
		517.64k	95.28232u
		517.7k	96.51319u
		517.76k	97.84277u
		517.82k	89.85735u
		517.88k	97.37363u
		517.94k	95.53137u
		518k	101.1527u
		518.06k	98.13783u
		518.12k	95.28454u
		518.18k	104.5055u
		518.24k	110.5072u
		518.3k	105.9259u
		518.36k	102.8999u
		518.42k	110.3368u
		518.48k	104.5528u
		518.54k	101.3885u
		518.6k	101.0371u
		518.66k	108.4646u
		518.72k	105.7874u
		518.78k	108.5494u
		518.84k	111.8984u
		518.9k	110.5215u
		518.96k	99.27883u
		519.02k	102.322u
		519.08k	104.9926u
		519.14k	105.4824u
		519.2k	104.1955u
		519.26k	107.3259u
		519.32k	107.724u
		519.38k	107.1895u
		519.44k	104.0747u
		519.5k	118.3124u
		519.56k	118.765u
		519.62k	110.7139u
		519.68k	119.5241u
		519.74k	112.6419u
		519.8k	113.1567u
		519.86k	110.635u
		519.92k	109.3103u
		519.98k	117.0592u
		520.04k	110.1971u
		520.1k	104.4305u
		520.16k	105.0306u
		520.22k	116.954u
		520.28k	115.8343u
		520.34k	118.5634u
		520.4k	115.1649u
		520.46k	113.555u
		520.52k	114.0693u
		520.58k	114.3377u
		520.64k	129.8885u
		520.7k	134.7578u
		520.76k	126.7066u
		520.82k	119.561u
		520.88k	119.5844u
		520.94k	119.1355u
		521k	122.3159u
		521.06k	120.1175u
		521.12k	123.2666u
		521.18k	131.4586u
		521.24k	128.7788u
		521.3k	133.19u
		521.36k	129.2786u
		521.42k	130.0533u
		521.48k	125.5952u
		521.54k	123.3282u
		521.6k	127.5478u
		521.66k	127.2098u
		521.72k	120.8331u
		521.78k	128.9853u
		521.84k	136.3001u
		521.9k	130.3001u
		521.96k	134.6593u
		522.02k	137.2374u
		522.08k	127.603u
		522.14k	135.0231u
		522.2k	135.3888u
		522.26k	137.3898u
		522.32k	134.1816u
		522.38k	134.7908u
		522.44k	143.8057u
		522.5k	146.5816u
		522.56k	145.0356u
		522.62k	146.2276u
		522.68k	145.3579u
		522.74k	146.5355u
		522.8k	147.6862u
		522.86k	145.6791u
		522.92k	149.5492u
		522.98k	149.8202u
		523.04k	139.6828u
		523.1k	140.9588u
		523.16k	137.147u
