"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
124.26k,2.77505m,100k,714.5144u
128.96k,2.606627m,100.02k,313.6964u
140.2k,869.7076u,100.04k,313.5271u
168.78k,914.3126u,100.06k,724.7701u
185k,1.206418m,100.08k,843.4454u
188.3k,1.623667m,100.1k,863.403u
241.08k,1.229539m,100.12k,866.5214u
243.1k,1.869662m,100.14k,864.7878u
284.16k,1.378193m,100.16k,864.6543u
286.48k,1.181378m,100.18k,865.396u
324.8k,4.682743m,100.2k,863.5327u
343.26k,4.416763m,100.22k,860.2952u
359k,12.85588m,100.24k,859.4709u
360.78k,13.35241m,100.26k,861.4683u
365.74k,7.295234m,100.28k,861.2141u
971.66k,825.7783u,100.3k,854.7377u
,,100.32k,843.4002u
,,100.34k,832.5037u
,,100.36k,830.8845u
,,100.38k,834.1475u
,,100.4k,829.2344u
,,100.42k,823.7857u
,,100.44k,826.5318u
,,100.46k,830.0429u
,,100.48k,824.7381u
,,100.5k,811.7535u
,,100.52k,799.8503u
,,100.54k,797.3436u
,,100.56k,798.3651u
,,100.58k,787.4117u
,,100.6k,771.218u
,,100.62k,764.442u
,,100.64k,769.0089u
,,100.66k,773.7292u
,,100.68k,767.3733u
,,100.7k,755.6786u
,,100.72k,750.3978u
,,100.74k,751.0829u
,,100.76k,747.4229u
,,100.78k,745.9102u
,,100.8k,749.0869u
,,100.82k,739.1247u
,,100.84k,720.5185u
,,100.86k,710.1916u
,,100.88k,710.9871u
,,100.9k,715.1705u
,,100.92k,713.4857u
,,100.94k,713.1533u
,,100.96k,711.1594u
,,100.98k,693.2504u
,,101k,672.8069u
,,101.02k,663.4857u
,,101.04k,659.1024u
,,101.06k,657.1755u
,,101.08k,663.151u
,,101.1k,675.9716u
,,101.12k,678.9638u
,,101.14k,672.768u
,,101.16k,674.947u
,,101.18k,671.7205u
,,101.2k,652.9527u
,,101.22k,637.1929u
,,101.24k,633.8707u
,,101.26k,643.8511u
,,101.28k,660.8873u
,,101.3k,664.7141u
,,101.32k,651.4839u
,,101.34k,643.2993u
,,101.36k,644.112u
,,101.38k,639.134u
,,101.4k,630.1671u
,,101.42k,621.5281u
,,101.44k,614.6143u
,,101.46k,616.573u
,,101.48k,626.1796u
