"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.68k,1.106589m,100k,767.0286u
120.38k,603.2144u,100.02k,421.1246u
122.2k,1.010465m,100.04k,101.7759u
243.3k,704.299u,100.06k,440.9084u
288.72k,819.1362u,100.08k,531.7314u
290.16k,833.5168u,100.1k,539.2586u
302.68k,1.191274m,100.12k,539.5953u
315.84k,804.7253u,100.14k,544.0872u
320.42k,979.4608u,100.16k,544.3198u
325.72k,3.195683m,100.18k,536.0416u
329.14k,3.416579m,100.2k,522.1746u
337.96k,1.137814m,100.22k,512.7018u
344.3k,1.750429m,100.24k,512.5885u
350.1k,1.060808m,100.26k,513.7851u
353.26k,1.793657m,100.28k,513.9189u
360.6k,5.238201m,100.3k,515.8467u
363.26k,9.632345m,100.32k,510.8217u
368.06k,8.583644m,100.34k,497.0446u
372.92k,3.749366m,100.36k,487.4192u
380.48k,664.0883u,100.38k,484.9288u
385.36k,807.8987u,100.4k,482.9026u
388.46k,588.1014u,100.42k,477.8167u
437.44k,701.8988u,100.44k,473.1384u
569.68k,600.0961u,100.46k,472.0432u
976.62k,915.8733u,100.48k,472.0999u
,,100.5k,471.5098u
,,100.52k,470.1409u
,,100.54k,468.9203u
,,100.56k,462.4676u
,,100.58k,450.2629u
,,100.6k,442.4144u
,,100.62k,431.5873u
,,100.64k,418.0148u
,,100.66k,417.0748u
,,100.68k,418.6344u
,,100.7k,414.0073u
,,100.72k,417.1286u
,,100.74k,423.5849u
,,100.76k,422.6169u
,,100.78k,421.3043u
,,100.8k,412.086u
,,100.82k,394.8936u
,,100.84k,391.1803u
,,100.86k,395.2994u
,,100.88k,395.1314u
,,100.9k,397.9932u
,,100.92k,404.5274u
,,100.94k,409.5787u
,,100.96k,406.6181u
,,100.98k,398.5879u
,,101k,398.7193u
,,101.02k,398.952u
,,101.04k,395.5361u
,,101.06k,399.1705u
,,101.08k,403.1806u
,,101.1k,404.1634u
,,101.12k,409.3378u
,,101.14k,409.4651u
,,101.16k,392.9668u
,,101.18k,369.7493u
,,101.2k,354.8185u
,,101.22k,349.6669u
,,101.24k,347.6493u
,,101.26k,343.7415u
,,101.28k,346.5631u
,,101.3k,362.756u
,,101.32k,372.73u
,,101.34k,363.1093u
,,101.36k,354.1364u
,,101.38k,353.6484u
,,101.4k,351.795u
,,101.42k,353.9854u
,,101.44k,356.8509u
,,101.46k,354.8608u
,,101.48k,348.4237u
,,101.5k,340.0696u
,,101.52k,338.7513u
,,101.54k,338.0719u
,,101.56k,333.3829u
,,101.58k,332.5284u
,,101.6k,333.308u
,,101.62k,329.8138u
,,101.64k,322.2653u
,,101.66k,319.9013u
,,101.68k,324.1997u
,,101.7k,325.2039u
,,101.72k,322.9354u
,,101.74k,322.0169u
,,101.76k,324.0919u
,,101.78k,327.7013u
,,101.8k,329.7193u
,,101.82k,333.6974u
