"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.72k,1.206781m,100k,773.0047u
118.24k,592.8714u,100.02k,432.2759u
120.1k,525.9037u,100.04k,90.96991u
122.64k,1.194692m,100.06k,431.1584u
128.52k,711.0578u,100.08k,530.1417u
243.02k,638.5396u,100.1k,546.5885u
244.18k,571.0739u,100.12k,547.2461u
286.2k,812.8071u,100.14k,542.1156u
288.08k,774.1934u,100.16k,534.3493u
301.82k,1.249614m,100.18k,528.308u
313.92k,535.3308u,100.2k,523.6532u
316.36k,821.1642u,100.22k,515.7585u
319.06k,741.0844u,100.24k,509.654u
320.92k,733.6219u,100.26k,509.7579u
325.66k,4.001667m,100.28k,509.0031u
337.06k,1.226554m,100.3k,503.2411u
338.36k,1.195492m,100.32k,495.2886u
338.96k,1.198537m,100.34k,489.9229u
339.68k,1.19827m,100.36k,487.3955u
339.88k,1.199955m,100.38k,481.9135u
340.22k,1.204277m,100.4k,474.7984u
344.38k,2.182819m,100.42k,471.1124u
355.12k,1.129802m,100.44k,470.4951u
360.5k,5.656073m,100.46k,468.3382u
362.2k,8.051686m,100.48k,461.4617u
368k,4.313852m,100.5k,454.3582u
372.5k,2.256188m,100.52k,448.5806u
381.16k,523.0461u,100.54k,442.9728u
383.6k,575.9233u,100.56k,437.8361u
424.2k,511.344u,100.58k,434.1945u
436.82k,651.7954u,100.6k,438.48u
569.56k,715.0056u,100.62k,449.3565u
975.22k,1.08151m,100.64k,452.8338u
,,100.66k,446.4638u
,,100.68k,436.2151u
,,100.7k,423.2041u
,,100.72k,415.8572u
,,100.74k,416.8701u
,,100.76k,414.6407u
,,100.78k,411.2016u
,,100.8k,409.3914u
,,100.82k,403.2596u
,,100.84k,404.1724u
,,100.86k,412.3728u
,,100.88k,410.3908u
,,100.9k,395.9454u
,,100.92k,378.9919u
,,100.94k,373.3249u
,,100.96k,381.6042u
,,100.98k,390.8821u
,,101k,393.7749u
,,101.02k,389.4173u
,,101.04k,382.8562u
,,101.06k,380.8911u
,,101.08k,380.1124u
,,101.1k,378.3617u
,,101.12k,371.5384u
,,101.14k,358.4037u
,,101.16k,346.6341u
,,101.18k,343.8708u
,,101.2k,347.2948u
,,101.22k,344.9779u
,,101.24k,336.1111u
,,101.26k,330.9466u
,,101.28k,331.8411u
,,101.3k,334.4873u
,,101.32k,336.875u
,,101.34k,332.4598u
,,101.36k,315.3973u
,,101.38k,303.5814u
,,101.4k,311.0848u
,,101.42k,315.737u
,,101.44k,305.1511u
,,101.46k,291.8785u
,,101.48k,281.9586u
,,101.5k,275.77u
,,101.52k,272.77u
,,101.54k,274.9419u
,,101.56k,280.6249u
,,101.58k,279.4773u
,,101.6k,273.5348u
,,101.62k,273.9161u
,,101.64k,277.4022u
,,101.66k,279.0352u
,,101.68k,280.1108u
,,101.7k,278.7013u
,,101.72k,270.0729u
,,101.74k,263.2278u
,,101.76k,265.2651u
,,101.78k,269.2884u
,,101.8k,275.0389u
,,101.82k,280.7139u
,,101.84k,284.8714u
,,101.86k,295.1476u
,,101.88k,310.1293u
,,101.9k,321.9743u
