"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
106.1k,808.9767u,100k,721.2109u
125.54k,2.359834m,100.02k,325.2429u
128.94k,2.655875m,100.04k,292.6704u
140.16k,1.114364m,100.06k,690.0184u
163.52k,946.7546u,100.08k,804.0476u
168.7k,841.2327u,100.1k,830.1128u
185.28k,1.194919m,100.12k,845.3728u
188.1k,2.218047m,100.14k,850.0508u
242.82k,2.490604m,100.16k,845.6986u
251.34k,878.4033u,100.18k,843.5639u
283.86k,1.117861m,100.2k,845.3999u
286.2k,1.169312m,100.22k,847.1907u
293.54k,918.7716u,100.24k,846.1519u
301.74k,806.6779u,100.26k,840.5897u
324.68k,4.781155m,100.28k,834.8402u
343k,4.674501m,100.3k,832.2238u
358.78k,13.02318m,100.32k,830.1614u
360.42k,13.25661m,100.34k,826.7942u
365.12k,6.607906m,100.36k,821.1961u
970.54k,1.022425m,100.38k,813.9075u
974.66k,881.6815u,100.4k,807.8528u
,,100.42k,803.8827u
,,100.44k,799.2981u
,,100.46k,788.7403u
,,100.48k,778.6486u
,,100.5k,779.1316u
,,100.52k,779.4672u
,,100.54k,769.385u
,,100.56k,756.53u
,,100.58k,752.3668u
,,100.6k,751.0955u
,,100.62k,741.6387u
,,100.64k,735.6027u
,,100.66k,737.3483u
,,100.68k,729.0241u
,,100.7k,716.8473u
,,100.72k,716.3106u
,,100.74k,714.634u
,,100.76k,704.0067u
,,100.78k,692.4107u
,,100.8k,686.1908u
,,100.82k,689.5883u
,,100.84k,696.6058u
,,100.86k,696.5998u
,,100.88k,687.1771u
,,100.9k,677.277u
,,100.92k,676.6747u
,,100.94k,682.9046u
,,100.96k,683.9482u
,,100.98k,677.1662u
,,101k,671.1131u
,,101.02k,666.8916u
,,101.04k,657.9587u
,,101.06k,648.8583u
,,101.08k,648.3351u
,,101.1k,645.1387u
,,101.12k,633.1823u
,,101.14k,622.141u
,,101.16k,614.341u
,,101.18k,610.6459u
,,101.2k,617.2941u
,,101.22k,630.0843u
,,101.24k,630.5183u
,,101.26k,617.1386u
,,101.28k,613.8149u
,,101.3k,622.8539u
,,101.32k,624.0647u
,,101.34k,617.6652u
,,101.36k,616.9924u
,,101.38k,626.342u
,,101.4k,632.1052u
,,101.42k,624.7412u
,,101.44k,614.1397u
,,101.46k,610.5309u
,,101.48k,613.7317u
,,101.5k,618.9397u
,,101.52k,620.783u
,,101.54k,615.971u
,,101.56k,615.0871u
,,101.58k,623.7991u
,,101.6k,630.2796u
,,101.62k,623.7142u
,,101.64k,613.2624u
,,101.66k,609.6211u
,,101.68k,608.3968u
,,101.7k,609.9324u
,,101.72k,612.5052u
,,101.74k,612.5961u
,,101.76k,611.6617u
,,101.78k,610.709u
,,101.8k,611.7448u
,,101.82k,612.9417u
,,101.84k,614.576u
,,101.86k,621.3005u
,,101.88k,628.1057u
,,101.9k,630.1463u
,,101.92k,630.1708u
,,101.94k,628.7073u
,,101.96k,626.1115u
,,101.98k,619.6786u
,,102k,607.0509u
,,102.02k,602.2904u
,,102.04k,615.2977u
,,102.06k,627.5322u
,,102.08k,628.1905u
,,102.1k,629.2559u
,,102.12k,633.9196u
,,102.14k,635.4208u
,,102.16k,635.2966u
,,102.18k,640.6536u
,,102.2k,645.9425u
,,102.22k,644.9434u
,,102.24k,644.6046u
,,102.26k,647.8195u
,,102.28k,647.4234u
,,102.3k,640.668u
,,102.32k,636.6913u
,,102.34k,641.8452u
,,102.36k,648.8622u
,,102.38k,650.915u
,,102.4k,650.5435u
,,102.42k,651.2375u
,,102.44k,654.4356u
,,102.46k,656.6049u
,,102.48k,654.1753u
,,102.5k,654.7791u
,,102.52k,659.8556u
,,102.54k,661.834u
,,102.56k,658.1936u
,,102.58k,651.2538u
,,102.6k,647.4435u
,,102.62k,645.2965u
,,102.64k,643.3997u
,,102.66k,643.6224u
,,102.68k,642.3302u
,,102.7k,642.0155u
,,102.72k,646.3352u
,,102.74k,652.9821u
,,102.76k,654.3438u
,,102.78k,647.7697u
,,102.8k,646.62u
,,102.82k,653.2503u
,,102.84k,652.0153u
,,102.86k,637.7663u
,,102.88k,623.4309u
,,102.9k,618.4608u
,,102.92k,615.3268u
,,102.94k,614.0025u
,,102.96k,620.209u
,,102.98k,622.2929u
,,103k,613.0317u
,,103.02k,600.8987u
,,103.04k,593.3512u
,,103.06k,592.0455u
,,103.08k,597.5317u
,,103.1k,603.4005u
,,103.12k,599.5903u
,,103.14k,591.3682u
,,103.16k,589.9126u
,,103.18k,591.9061u
,,103.2k,590.8551u
,,103.22k,587.9347u
,,103.24k,584.793u
,,103.26k,580.8454u
,,103.28k,575.1389u
,,103.3k,568.6901u
,,103.32k,566.9641u
,,103.34k,573.9589u
,,103.36k,585.0962u
,,103.38k,591.0715u
,,103.4k,591.8452u
,,103.42k,588.3317u
,,103.44k,579.4908u
,,103.46k,569.3622u
,,103.48k,559.9252u
,,103.5k,556.0545u
,,103.52k,559.5819u
,,103.54k,565.2937u
,,103.56k,569.7918u
,,103.58k,571.9489u
,,103.6k,572.4128u
,,103.62k,567.7424u
,,103.64k,553.7271u
,,103.66k,533.7143u
,,103.68k,524.1306u
,,103.7k,531.6226u
,,103.72k,539.4951u
,,103.74k,539.8783u
,,103.76k,536.4512u
,,103.78k,532.111u
,,103.8k,529.0237u
,,103.82k,527.0614u
,,103.84k,525.9824u
,,103.86k,525.5192u
,,103.88k,526.051u
,,103.9k,523.7344u
,,103.92k,515.3724u
,,103.94k,509.2289u
,,103.96k,512.3138u
,,103.98k,519.6028u
,,104k,525.2323u
,,104.02k,528.0208u
,,104.04k,524.128u
,,104.06k,514.5044u
,,104.08k,514.3676u
,,104.1k,527.5163u
,,104.12k,535.292u
,,104.14k,529.0491u
,,104.16k,519.6762u
,,104.18k,521.5811u
,,104.2k,525.8938u
,,104.22k,518.6595u
,,104.24k,514.5175u
,,104.26k,517.9224u
,,104.28k,518.1703u
,,104.3k,519.0754u
,,104.32k,523.0334u
,,104.34k,523.0154u
,,104.36k,517.8796u
,,104.38k,512.2845u
,,104.4k,506.3481u
,,104.42k,506.5207u
,,104.44k,517.2754u
,,104.46k,526.4866u
,,104.48k,531.3377u
,,104.5k,536.1269u
,,104.52k,539.0133u
,,104.54k,538.9657u
,,104.56k,535.0267u
,,104.58k,524.7346u
,,104.6k,515.5267u
,,104.62k,518.6117u
,,104.64k,525.8218u
,,104.66k,525.4153u
,,104.68k,519.2328u
,,104.7k,516.5462u
,,104.72k,523.0807u
,,104.74k,532.5294u
,,104.76k,535.3179u
,,104.78k,531.0189u
,,104.8k,530.4364u
,,104.82k,539.3746u
,,104.84k,550.5521u
,,104.86k,555.0114u
,,104.88k,550.2648u
,,104.9k,547.552u
,,104.92k,556.6021u
,,104.94k,559.8548u
,,104.96k,548.7936u
,,104.98k,545.014u
,,105k,553.202u
,,105.02k,561.2661u
,,105.04k,565.8999u
,,105.06k,569.4907u
,,105.08k,574.6903u
,,105.1k,581.4486u
,,105.12k,587.1149u
,,105.14k,592.2339u
,,105.16k,596.7201u
,,105.18k,595.3044u
,,105.2k,596.7922u
,,105.22k,608.9368u
,,105.24k,622.3284u
,,105.26k,632.8124u
,,105.28k,640.6119u
,,105.3k,642.3936u
,,105.32k,636.4305u
,,105.34k,630.307u
,,105.36k,634.5154u
,,105.38k,641.6315u
,,105.4k,642.8869u
,,105.42k,645.1542u
,,105.44k,649.564u
,,105.46k,653.0019u
,,105.48k,656.9387u
,,105.5k,663.4146u
,,105.52k,671.7322u
,,105.54k,682.2739u
,,105.56k,691.2402u
,,105.58k,695.0823u
,,105.6k,701.9923u
,,105.62k,708.6116u
,,105.64k,707.5169u
,,105.66k,703.8363u
,,105.68k,703.3822u
,,105.7k,707.818u
,,105.72k,718.1381u
,,105.74k,730.152u
,,105.76k,734.2177u
,,105.78k,738.4812u
,,105.8k,749.8919u
,,105.82k,754.9693u
,,105.84k,753.07u
,,105.86k,755.3103u
,,105.88k,765.3179u
,,105.9k,779.4167u
,,105.92k,789.0146u
,,105.94k,794.1694u
,,105.96k,805.1244u
,,105.98k,814.1384u
,,106k,806.8278u
,,106.02k,793.62u
,,106.04k,792.6081u
,,106.06k,800.7754u
,,106.08k,806.1928u
,,106.1k,808.9767u
,,106.12k,803.2698u
,,106.14k,787.7108u
,,106.16k,785.5209u
,,106.18k,798.7751u
,,106.2k,801.9592u
,,106.22k,791.5604u
,,106.24k,780.1669u
,,106.26k,770.6026u
,,106.28k,760.1201u
,,106.3k,746.3068u
,,106.32k,733.3348u
,,106.34k,725.4715u
,,106.36k,719.8316u
,,106.38k,709.018u
,,106.4k,688.2549u
,,106.42k,669.9187u
,,106.44k,660.3094u
,,106.46k,651.4683u
,,106.48k,644.3343u
,,106.5k,635.0448u
,,106.52k,620.8481u
,,106.54k,607.7961u
,,106.56k,591.8607u
,,106.58k,568.7127u
,,106.6k,544.9656u
,,106.62k,533.6017u
,,106.64k,539.8626u
,,106.66k,548.0869u
,,106.68k,540.029u
,,106.7k,524.3331u
,,106.72k,517.7464u
,,106.74k,510.8817u
,,106.76k,498.6053u
,,106.78k,491.8383u
,,106.8k,488.1393u
,,106.82k,480.918u
,,106.84k,468.9088u
,,106.86k,457.7357u
,,106.88k,454.3427u
,,106.9k,451.3208u
,,106.92k,445.7683u
,,106.94k,446.951u
,,106.96k,449.8013u
,,106.98k,443.9717u
,,107k,434.3355u
,,107.02k,428.7377u
,,107.04k,423.2989u
,,107.06k,413.8548u
,,107.08k,412.0423u
,,107.1k,413.9465u
,,107.12k,400.1231u
,,107.14k,378.5274u
,,107.16k,366.5097u
,,107.18k,366.8267u
,,107.2k,373.2923u
,,107.22k,373.3011u
,,107.24k,365.4693u
,,107.26k,355.3444u
,,107.28k,343.7135u
,,107.3k,336.4301u
,,107.32k,334.6407u
,,107.34k,334.1831u
,,107.36k,331.8561u
,,107.38k,324.0669u
,,107.4k,317.4235u
,,107.42k,320.4955u
,,107.44k,327.3561u
,,107.46k,330.2376u
,,107.48k,329.0978u
,,107.5k,324.985u
,,107.52k,321.2498u
,,107.54k,317.0675u
,,107.56k,310.1364u
,,107.58k,299.1935u
,,107.6k,287.8358u
,,107.62k,287.4152u
,,107.64k,289.4539u
,,107.66k,281.1691u
,,107.68k,270.6897u
,,107.7k,267.116u
,,107.72k,270.7653u
,,107.74k,279.3666u
,,107.76k,288.6522u
,,107.78k,292.4096u
,,107.8k,291.1147u
,,107.82k,287.5701u
,,107.84k,283.3355u
,,107.86k,279.9171u
,,107.88k,276.5006u
,,107.9k,273.2419u
,,107.92k,269.8233u
,,107.94k,266.0685u
,,107.96k,263.0651u
,,107.98k,262.5577u
,,108k,262.7293u
,,108.02k,257.6097u
,,108.04k,252.974u
,,108.06k,258.2375u
,,108.08k,263.3531u
,,108.1k,260.701u
,,108.12k,256.1923u
,,108.14k,252.0825u
,,108.16k,253.3426u
,,108.18k,259.921u
,,108.2k,262.1457u
,,108.22k,258.0189u
,,108.24k,252.8176u
,,108.26k,251.6686u
,,108.28k,253.8386u
,,108.3k,255.0478u
,,108.32k,247.5773u
,,108.34k,234.7706u
,,108.36k,231.511u
,,108.38k,240.4434u
,,108.4k,249.0019u
,,108.42k,239.7017u
,,108.44k,217.5117u
,,108.46k,204.0735u
,,108.48k,204.1827u
