"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.74k,1.15886m,100k,760.5668u
117.84k,492.5927u,100.02k,427.5082u
122.8k,969.3462u,100.04k,102.9967u
128.56k,754.8603u,100.06k,431.9327u
185.42k,488.9809u,100.08k,521.7819u
242.02k,860.3544u,100.1k,533.309u
243.16k,798.5811u,100.12k,541.6838u
284.44k,701.4893u,100.14k,544.6019u
287.16k,588.4693u,100.16k,538.9415u
296.32k,708.7717u,100.18k,533.7314u
301k,801.9804u,100.2k,530.203u
319.64k,2.205408m,100.22k,525.0167u
324.12k,6.276717m,100.24k,519.2824u
337.56k,1.17693m,100.26k,514.5128u
343.36k,2.605173m,100.28k,506.0124u
359.48k,4.511638m,100.3k,494.3076u
360.98k,5.594408m,100.32k,486.8095u
366.14k,2.512589m,100.34k,483.3539u
374.64k,1.251034m,100.36k,480.3584u
375.22k,1.219329m,100.38k,476.1269u
385.4k,511.778u,100.4k,473.1372u
423.38k,451.3749u,100.42k,470.8905u
568.34k,458.2275u,100.44k,468.3176u
972.76k,952.2031u,100.46k,466.8146u
,,100.48k,460.512u
,,100.5k,455.32u
,,100.52k,459.3112u
,,100.54k,462.7455u
,,100.56k,458.3768u
,,100.58k,452.9732u
,,100.6k,446.8753u
,,100.62k,436.5537u
,,100.64k,430.4095u
,,100.66k,426.7214u
,,100.68k,419.0225u
,,100.7k,412.3079u
,,100.72k,409.0559u
,,100.74k,407.4601u
,,100.76k,406.0075u
,,100.78k,404.4186u
,,100.8k,403.8914u
,,100.82k,405.0545u
,,100.84k,401.0178u
,,100.86k,389.9567u
,,100.88k,384.3335u
,,100.9k,384.6763u
,,100.92k,378.875u
,,100.94k,365.6813u
,,100.96k,357.5287u
,,100.98k,355.6006u
,,101k,347.2753u
,,101.02k,339.8395u
,,101.04k,345.6988u
,,101.06k,352.0975u
,,101.08k,348.7905u
,,101.1k,340.6273u
,,101.12k,333.4904u
,,101.14k,329.8591u
,,101.16k,325.2458u
,,101.18k,313.8444u
,,101.2k,301.8565u
,,101.22k,298.8716u
,,101.24k,301.6441u
,,101.26k,296.19u
,,101.28k,278.1039u
,,101.3k,261.2412u
,,101.32k,255.8869u
,,101.34k,259.9023u
,,101.36k,265.3971u
,,101.38k,265.1141u
,,101.4k,260.1704u
,,101.42k,251.7151u
,,101.44k,240.3059u
,,101.46k,230.777u
,,101.48k,226.8651u
,,101.5k,228.0601u
,,101.52k,230.9993u
,,101.54k,227.1298u
,,101.56k,212.4547u
,,101.58k,203.6107u
,,101.6k,209.487u
,,101.62k,205.6424u
,,101.64k,188.6721u
,,101.66k,180.4703u
,,101.68k,184.5335u
,,101.7k,191.987u
,,101.72k,196.3616u
,,101.74k,198.6854u
,,101.76k,199.8199u
,,101.78k,198.2196u
,,101.8k,194.8211u
,,101.82k,193.2238u
,,101.84k,200.5274u
,,101.86k,212.9031u
,,101.88k,219.0497u
,,101.9k,222.6018u
,,101.92k,230.3922u
,,101.94k,241.3228u
,,101.96k,255.5503u
,,101.98k,268.3601u
,,102k,280.7342u
,,102.02k,298.0675u
,,102.04k,310.0214u
,,102.06k,316.1831u
,,102.08k,329.3505u
,,102.1k,353.2271u
,,102.12k,383.0652u
,,102.14k,407.8349u
,,102.16k,423.8271u
,,102.18k,442.0763u
,,102.2k,470.9765u
,,102.22k,502.8029u
,,102.24k,530.047u
,,102.26k,551.9521u
,,102.28k,572.8312u
,,102.3k,602.9677u
,,102.32k,644.4886u
,,102.34k,685.0933u
,,102.36k,712.4213u
,,102.38k,732.2185u
,,102.4k,757.5893u
,,102.42k,793.8982u
,,102.44k,839.0477u
,,102.46k,887.6744u
,,102.48k,930.3245u
,,102.5k,961.3714u
,,102.52k,986.7733u
,,102.54k,1.009889m
,,102.56k,1.03199m
,,102.58k,1.054828m
,,102.6k,1.076614m
,,102.62k,1.095039m
,,102.64k,1.108647m
,,102.66k,1.119728m
,,102.68k,1.132762m
,,102.7k,1.148165m
,,102.72k,1.158516m
,,102.74k,1.15886m
,,102.76k,1.156954m
,,102.78k,1.156435m
,,102.8k,1.151233m
,,102.82k,1.143044m
,,102.84k,1.141621m
,,102.86k,1.142047m
,,102.88k,1.131649m
,,102.9k,1.121031m
,,102.92k,1.11891m
,,102.94k,1.113946m
,,102.96k,1.10498m
,,102.98k,1.099114m
,,103k,1.089563m
,,103.02k,1.070282m
,,103.04k,1.049385m
,,103.06k,1.034215m
,,103.08k,1.020273m
,,103.1k,1.003837m
,,103.12k,995.8536u
,,103.14k,994.8564u
,,103.16k,984.0467u
,,103.18k,967.9838u
,,103.2k,960.7325u
,,103.22k,954.1506u
,,103.24k,935.9424u
,,103.26k,912.6793u
,,103.28k,899.3314u
,,103.3k,892.6u
,,103.32k,885.3021u
,,103.34k,879.835u
,,103.36k,872.411u
,,103.38k,862.3958u
,,103.4k,854.8706u
,,103.42k,847.3876u
,,103.44k,836.092u
,,103.46k,830.0238u
,,103.48k,829.6252u
,,103.5k,819.6213u
,,103.52k,800.7932u
,,103.54k,786.8158u
,,103.56k,781.9037u
,,103.58k,781.4582u
,,103.6k,775.2981u
,,103.62k,760.4178u
,,103.64k,752.6038u
,,103.66k,754.6012u
,,103.68k,747.9366u
,,103.7k,730.0553u
,,103.72k,712.481u
,,103.74k,702.6419u
,,103.76k,700.9868u
,,103.78k,698.8531u
,,103.8k,690.4579u
,,103.82k,680.9126u
,,103.84k,673.1733u
,,103.86k,666.6878u
,,103.88k,666.7549u
,,103.9k,671.4585u
,,103.92k,668.1754u
,,103.94k,657.1138u
,,103.96k,648.6342u
,,103.98k,641.0054u
,,104k,630.8594u
,,104.02k,619.7815u
,,104.04k,617.5853u
,,104.06k,626.5799u
,,104.08k,623.1791u
,,104.1k,601.8526u
,,104.12k,584.362u
,,104.14k,582.1386u
,,104.16k,587.4467u
,,104.18k,583.8218u
,,104.2k,567.4074u
,,104.22k,553.7943u
,,104.24k,553.9758u
,,104.26k,562.6783u
,,104.28k,568.1018u
,,104.3k,564.6641u
,,104.32k,556.8915u
,,104.34k,550.668u
,,104.36k,545.941u
,,104.38k,533.9494u
,,104.4k,516.8526u
,,104.42k,509.9441u
,,104.44k,513.2856u
,,104.46k,513.1116u
,,104.48k,506.5324u
,,104.5k,500.4918u
,,104.52k,497.6771u
,,104.54k,496.009u
,,104.56k,487.1813u
,,104.58k,477.9559u
,,104.6k,481.6178u
,,104.62k,482.8543u
,,104.64k,470.663u
,,104.66k,456.7048u
,,104.68k,449.5991u
,,104.7k,445.6657u
,,104.72k,437.9376u
,,104.74k,434.5613u
,,104.76k,445.5928u
,,104.78k,456.7194u
,,104.8k,453.0801u
,,104.82k,445.2906u
,,104.84k,443.8022u
,,104.86k,444.9599u
,,104.88k,445.2581u
,,104.9k,441.0762u
,,104.92k,433.1024u
,,104.94k,425.2343u
,,104.96k,421.6307u
,,104.98k,428.5842u
,,105k,440.2669u
,,105.02k,442.3468u
,,105.04k,434.1917u
,,105.06k,430.0481u
,,105.08k,433.3818u
,,105.1k,432.1184u
,,105.12k,417.1717u
,,105.14k,400.9029u
,,105.16k,399.4313u
,,105.18k,401.1451u
,,105.2k,397.7489u
,,105.22k,396.1246u
,,105.24k,396.4211u
,,105.26k,395.1228u
,,105.28k,391.4134u
,,105.3k,386.2154u
,,105.32k,381.4404u
,,105.34k,375.3103u
,,105.36k,367.7469u
,,105.38k,364.0351u
,,105.4k,367.6914u
,,105.42k,370.778u
,,105.44k,361.0564u
,,105.46k,348.0617u
,,105.48k,341.208u
,,105.5k,339.1022u
,,105.52k,343.2406u
,,105.54k,346.1921u
,,105.56k,344.2581u
,,105.58k,335.2939u
,,105.6k,324.8685u
,,105.62k,325.5334u
,,105.64k,328.5243u
,,105.66k,326.1616u
,,105.68k,319.2073u
,,105.7k,311.6895u
,,105.72k,308.3052u
,,105.74k,304.2009u
,,105.76k,296.899u
,,105.78k,284.5883u
,,105.8k,271.2882u
,,105.82k,266.5422u
,,105.84k,273.0033u
,,105.86k,287.1744u
,,105.88k,298.7874u
,,105.9k,301.0188u
,,105.92k,290.8875u
,,105.94k,278.5284u
,,105.96k,281.5993u
,,105.98k,287.379u
,,106k,283.4411u
,,106.02k,280.8074u
,,106.04k,282.9454u
,,106.06k,285.6298u
,,106.08k,287.9647u
,,106.1k,291.6477u
,,106.12k,292.8653u
,,106.14k,294.2685u
,,106.16k,306.8655u
,,106.18k,323.4163u
,,106.2k,334.7732u
,,106.22k,341.598u
,,106.24k,343.1807u
,,106.26k,343.3825u
,,106.28k,344.7788u
,,106.3k,343.7248u
,,106.32k,343.4278u
,,106.34k,352.2387u
,,106.36k,367.5672u
,,106.38k,379.2271u
,,106.4k,383.143u
,,106.42k,384.641u
,,106.44k,389.608u
,,106.46k,395.8937u
,,106.48k,396.4063u
,,106.5k,393.761u
,,106.52k,396.5913u
,,106.54k,394.8822u
,,106.56k,387.4124u
,,106.58k,392.1517u
,,106.6k,404.178u
,,106.62k,408.7438u
,,106.64k,406.4138u
,,106.66k,401.6324u
,,106.68k,400.6426u
,,106.7k,402.4278u
,,106.72k,400.6259u
,,106.74k,403.8087u
,,106.76k,412.8719u
,,106.78k,415.0706u
,,106.8k,408.5108u
,,106.82k,402.8953u
,,106.84k,405.3546u
,,106.86k,404.5568u
,,106.88k,392.2325u
,,106.9k,378.2025u
,,106.92k,370.257u
