"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.76k,1.120132m,100k,759.032u
117.86k,472.4833u,100.02k,421.9708u
122.82k,914.1875u,100.04k,103.3358u
128.5k,770.7449u,100.06k,442.4092u
185.52k,512.228u,100.08k,544.7785u
241.96k,863.3786u,100.1k,560.7299u
243.1k,820.4005u,100.12k,553.0953u
284.46k,694.0273u,100.14k,538.5852u
286.98k,547.9936u,100.16k,529.9252u
296.22k,739.4386u,100.18k,526.4554u
300.9k,718.7915u,100.2k,522.1734u
319.44k,2.431766m,100.22k,517.032u
324.04k,6.50487m,100.24k,512.5366u
337.44k,1.186142m,100.26k,506.2935u
337.8k,1.188943m,100.28k,497.7992u
343.16k,2.619023m,100.3k,493.3939u
359.38k,4.336605m,100.32k,494.0506u
360.88k,5.344487m,100.34k,497.576u
365.86k,2.383457m,100.36k,500.1095u
374.66k,1.119864m,100.38k,492.7996u
385.38k,474.0931u,100.4k,479.2105u
972.52k,907.8471u,100.42k,472.1411u
975.96k,501.4952u,100.44k,469.5033u
,,100.46k,461.1524u
,,100.48k,454.021u
,,100.5k,454.0741u
,,100.52k,453.8534u
,,100.54k,450.3525u
,,100.56k,444.7868u
,,100.58k,443.0403u
,,100.6k,447.4156u
,,100.62k,445.7759u
,,100.64k,434.3351u
,,100.66k,426.0572u
,,100.68k,422.6295u
,,100.7k,418.0413u
,,100.72k,413.8167u
,,100.74k,415.5483u
,,100.76k,421.3138u
,,100.78k,415.3472u
,,100.8k,402.1106u
,,100.82k,397.1094u
,,100.84k,392.3933u
,,100.86k,390.8428u
,,100.88k,397.4491u
,,100.9k,400.2429u
,,100.92k,397.4313u
,,100.94k,391.6215u
,,100.96k,376.1102u
,,100.98k,353.2211u
,,101k,338.3635u
,,101.02k,328.44u
,,101.04k,317.6876u
,,101.06k,317.2536u
,,101.08k,324.9037u
,,101.1k,328.4022u
,,101.12k,330.4757u
,,101.14k,328.7248u
,,101.16k,321.2223u
,,101.18k,320.8448u
,,101.2k,316.8432u
,,101.22k,299.0949u
,,101.24k,285.7395u
,,101.26k,282.9647u
,,101.28k,279.4825u
,,101.3k,281.9966u
,,101.32k,288.7383u
,,101.34k,280.1499u
,,101.36k,269.8874u
,,101.38k,266.3906u
,,101.4k,257.7009u
,,101.42k,257.7365u
,,101.44k,268.328u
,,101.46k,269.9968u
,,101.48k,257.6055u
,,101.5k,245.397u
,,101.52k,243.4335u
,,101.54k,234.9855u
,,101.56k,219.9609u
,,101.58k,218.0585u
,,101.6k,224.1343u
,,101.62k,223.2482u
,,101.64k,212.5008u
,,101.66k,202.586u
,,101.68k,200.2471u
,,101.7k,200.4774u
,,101.72k,201.941u
,,101.74k,207.6139u
,,101.76k,213.077u
,,101.78k,209.0051u
,,101.8k,202.3205u
,,101.82k,203.347u
,,101.84k,207.1767u
,,101.86k,209.1812u
,,101.88k,211.8231u
,,101.9k,217.2565u
,,101.92k,227.0694u
,,101.94k,237.0769u
,,101.96k,241.2895u
,,101.98k,242.5373u
,,102k,247.464u
,,102.02k,257.2983u
,,102.04k,273.4982u
,,102.06k,295.6212u
,,102.08k,316.3098u
,,102.1k,330.8897u
,,102.12k,349.3956u
,,102.14k,376.5008u
,,102.16k,394.5953u
,,102.18k,404.429u
,,102.2k,422.3097u
,,102.22k,449.9635u
,,102.24k,485.1094u
,,102.26k,520.2372u
,,102.28k,552.3683u
,,102.3k,585.3707u
,,102.32k,611.4487u
,,102.34k,628.2758u
,,102.36k,654.9u
,,102.38k,696.6898u
,,102.4k,736.684u
,,102.42k,774.3375u
,,102.44k,813.9233u
,,102.46k,844.2093u
