"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.66k,1.26157m,100k,772.1232u
118.16k,614.884u,100.02k,426.8271u
119.84k,506.0961u,100.04k,101.1048u
122.78k,1.170329m,100.06k,437.6677u
128.28k,770.5335u,100.08k,530.4944u
242.88k,685.907u,100.1k,542.8127u
244.06k,638.4088u,100.12k,541.0014u
285.82k,822.6387u,100.14k,535.1533u
287.68k,818.1382u,100.16k,531.7133u
301.84k,1.239808m,100.18k,530.5485u
313.36k,531.1156u,100.2k,521.8647u
316.26k,668.4555u,100.22k,512.2481u
320.64k,992.7402u,100.24k,507.9265u
325.28k,4.548376m,100.26k,501.4066u
338.92k,1.189874m,100.28k,496.1843u
340.16k,1.206504m,100.3k,495.1576u
344.24k,2.494239m,100.32k,496.6149u
354.78k,1.428609m,100.34k,498.8183u
360.28k,5.686505m,100.36k,496.3121u
361.92k,7.800705m,100.38k,490.5142u
367.46k,3.988894m,100.4k,480.2609u
371.88k,2.093255m,100.42k,469.5366u
375.7k,1.215208m,100.44k,469.5668u
423.92k,503.8666u,100.46k,471.5797u
436.4k,561.9583u,100.48k,465.9987u
569.28k,705.7034u,100.5k,456.8467u
974.74k,1.11141m,100.52k,451.4871u
,,100.54k,451.4752u
,,100.56k,450.5469u
,,100.58k,448.0188u
,,100.6k,450.8434u
,,100.62k,459.3743u
,,100.64k,461.946u
,,100.66k,453.8304u
,,100.68k,442.8045u
,,100.7k,435.0868u
,,100.72k,431.0045u
,,100.74k,426.7791u
,,100.76k,421.9209u
,,100.78k,418.1642u
,,100.8k,411.721u
,,100.82k,409.1487u
,,100.84k,414.2136u
,,100.86k,413.8776u
,,100.88k,411.0735u
,,100.9k,412.5889u
,,100.92k,409.9544u
,,100.94k,399.6414u
,,100.96k,387.7321u
,,100.98k,378.137u
,,101k,367.3859u
,,101.02k,353.9195u
,,101.04k,343.4896u
,,101.06k,334.8813u
,,101.08k,325.874u
,,101.1k,324.7657u
,,101.12k,330.6008u
,,101.14k,330.1036u
,,101.16k,327.6228u
,,101.18k,329.0362u
,,101.2k,320.87u
,,101.22k,309.3645u
,,101.24k,308.9269u
,,101.26k,311.5488u
,,101.28k,310.3636u
,,101.3k,300.1011u
,,101.32k,284.7498u
,,101.34k,283.8823u
,,101.36k,291.771u
,,101.38k,288.084u
,,101.4k,271.8365u
,,101.42k,254.589u
,,101.44k,246.649u
,,101.46k,244.6021u
,,101.48k,241.6621u
,,101.5k,237.8568u
,,101.52k,238.4978u
,,101.54k,242.9164u
,,101.56k,238.2112u
,,101.58k,226.0237u
,,101.6k,226.5718u
,,101.62k,237.9966u
,,101.64k,241.7959u
,,101.66k,236.4665u
,,101.68k,231.8508u
,,101.7k,227.1604u
,,101.72k,218.3798u
,,101.74k,217.8763u
,,101.76k,227.1453u
,,101.78k,231.7392u
,,101.8k,233.2356u
,,101.82k,239.6145u
,,101.84k,253.0896u
,,101.86k,268.5537u
,,101.88k,279.344u
,,101.9k,289.7419u
,,101.92k,304.0362u
,,101.94k,315.4045u
,,101.96k,325.0033u
,,101.98k,341.4218u
,,102k,363.5476u
,,102.02k,386.9771u
,,102.04k,407.4443u
,,102.06k,426.6636u
,,102.08k,453.765u
,,102.1k,487.0388u
,,102.12k,518.8071u
,,102.14k,548.1563u
,,102.16k,581.5321u
,,102.18k,622.4121u
,,102.2k,657.8004u
,,102.22k,687.7797u
,,102.24k,726.3866u
,,102.26k,765.8993u
,,102.28k,791.791u
,,102.3k,821.6671u
