"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
102.68k,1.27176m,100k,771.8294u
118.04k,569.7933u,100.02k,424.5401u
119.38k,479.5662u,100.04k,106.4639u
122.82k,1.09586m,100.06k,441.12u
128.34k,781.8967u,100.08k,532.7765u
242.44k,792.7883u,100.1k,550.4298u
243.5k,743.343u,100.12k,552.2735u
285.34k,743.86u,100.14k,544.0866u
287.18k,703.3812u,100.16k,537.3986u
301.6k,1.060924m,100.18k,534.735u
320.2k,1.670901m,100.2k,527.3635u
324.64k,5.31559m,100.22k,520.4955u
343.86k,2.63654m,100.24k,523.2857u
359.94k,5.129251m,100.26k,526.6546u
361.4k,6.5623m,100.28k,522.2502u
366.84k,3.012655m,100.3k,512.6368u
375.76k,1.387881m,100.32k,504.6378u
386.12k,515.6974u,100.34k,501.0106u
421.54k,427.4282u,100.36k,499.8974u
423.78k,495.2251u,100.38k,500.4577u
435.72k,466.6038u,100.4k,493.5167u
568.86k,650.3724u,100.42k,478.1496u
973.94k,1.123698m,100.44k,470.6441u
,,100.46k,471.4272u
,,100.48k,468.5936u
,,100.5k,459.7294u
,,100.52k,451.325u
,,100.54k,450.348u
,,100.56k,455.0681u
,,100.58k,454.955u
,,100.6k,444.8887u
,,100.62k,434.8993u
,,100.64k,432.4165u
,,100.66k,427.9441u
,,100.68k,416.9451u
,,100.7k,411.9379u
,,100.72k,421.6749u
,,100.74k,433.3121u
,,100.76k,432.3853u
,,100.78k,419.4104u
,,100.8k,406.8356u
,,100.82k,405.7017u
,,100.84k,407.7187u
,,100.86k,403.3531u
,,100.88k,396.2412u
,,100.9k,387.815u
,,100.92k,376.0124u
,,100.94k,369.2712u
,,100.96k,363.7021u
,,100.98k,350.2728u
,,101k,340.3773u
,,101.02k,334.8092u
,,101.04k,326.8359u
,,101.06k,324.0141u
,,101.08k,326.686u
,,101.1k,325.0547u
,,101.12k,323.9588u
,,101.14k,322.3399u
,,101.16k,314.7692u
,,101.18k,313.5522u
,,101.2k,311.9013u
,,101.22k,298.0893u
,,101.24k,285.748u
,,101.26k,276.3398u
,,101.28k,268.8613u
,,101.3k,265.7507u
,,101.32k,261.3472u
,,101.34k,257.926u
,,101.36k,250.7391u
,,101.38k,239.9284u
,,101.4k,236.5675u
,,101.42k,234.2572u
,,101.44k,231.0501u
,,101.46k,230.3355u
,,101.48k,220.6257u
,,101.5k,205.418u
,,101.52k,201.2614u
,,101.54k,205.296u
,,101.56k,204.6156u
,,101.58k,202.8887u
,,101.6k,204.1315u
,,101.62k,204.7098u
,,101.64k,207.3942u
,,101.66k,210.252u
,,101.68k,209.6795u
,,101.7k,204.5423u
,,101.72k,195.9188u
,,101.74k,190.9279u
,,101.76k,192.2784u
,,101.78k,200.5659u
,,101.8k,215.2209u
,,101.82k,228.1437u
,,101.84k,240.2429u
,,101.86k,251.6605u
,,101.88k,254.8863u
,,101.9k,257.8622u
,,101.92k,270.0019u
,,101.94k,283.2659u
,,101.96k,292.7159u
,,101.98k,309.0698u
,,102k,334.2887u
,,102.02k,359.6078u
,,102.04k,381.0332u
,,102.06k,399.7977u
,,102.08k,419.1407u
,,102.1k,441.4693u
,,102.12k,466.5939u
,,102.14k,497.7155u
,,102.16k,538.3057u
,,102.18k,577.9471u
,,102.2k,608.0133u
,,102.22k,633.7725u
,,102.24k,664.2785u
,,102.26k,703.2273u
,,102.28k,746.3291u
,,102.3k,783.5365u
,,102.32k,812.8603u
,,102.34k,846.6253u
,,102.36k,892.0529u
,,102.38k,943.6066u
,,102.4k,987.7136u
,,102.42k,1.01969m
,,102.44k,1.048916m
,,102.46k,1.077059m
,,102.48k,1.102193m
,,102.5k,1.131109m
,,102.52k,1.16109m
,,102.54k,1.186248m
,,102.56k,1.208097m
,,102.58k,1.228728m
,,102.6k,1.248673m
,,102.62k,1.261361m
,,102.64k,1.263913m
,,102.66k,1.266735m
,,102.68k,1.27176m
,,102.7k,1.266445m
,,102.72k,1.259248m
,,102.74k,1.262441m
,,102.76k,1.263056m
,,102.78k,1.253625m
,,102.8k,1.242794m
,,102.82k,1.232381m
,,102.84k,1.220994m
,,102.86k,1.210506m
,,102.88k,1.19334m
,,102.9k,1.170963m
,,102.92k,1.154995m
,,102.94k,1.144026m
,,102.96k,1.134764m
,,102.98k,1.123345m
,,103k,1.107195m
,,103.02k,1.095226m
,,103.04k,1.092772m
,,103.06k,1.088486m
,,103.08k,1.073139m
,,103.1k,1.051906m
,,103.12k,1.030178m
,,103.14k,1.009219m
,,103.16k,987.5431u
,,103.18k,969.6082u
,,103.2k,964.4065u
,,103.22k,966.1139u
,,103.24k,963.2281u
,,103.26k,949.0862u
,,103.28k,929.9537u
,,103.3k,923.329u
,,103.32k,921.3617u
,,103.34k,908.2u
,,103.36k,890.0342u
,,103.38k,874.4842u
,,103.4k,863.9495u
,,103.42k,856.2026u
,,103.44k,849.8598u
,,103.46k,850.7715u
,,103.48k,853.2424u
,,103.5k,847.6557u
,,103.52k,835.9324u
,,103.54k,825.955u
,,103.56k,818.339u
,,103.58k,802.4701u
,,103.6k,780.3119u
,,103.62k,767.4946u
,,103.64k,767.9188u
,,103.66k,772.7814u
,,103.68k,772.2571u
,,103.7k,765.3679u
,,103.72k,759.6111u
,,103.74k,752.1845u
,,103.76k,733.9873u
,,103.78k,713.245u
,,103.8k,702.8288u
,,103.82k,700.7265u
,,103.84k,698.8808u
,,103.86k,692.4931u
,,103.88k,686.203u
,,103.9k,682.6322u
,,103.92k,677.2369u
,,103.94k,669.9563u
,,103.96k,664.4406u
,,103.98k,658.5377u
,,104k,647.9362u
,,104.02k,642.1146u
,,104.04k,645.5557u
,,104.06k,645.3334u
,,104.08k,634.7213u
,,104.1k,616.8731u
,,104.12k,599.2514u
,,104.14k,591.6033u
,,104.16k,592.8166u
,,104.18k,596.1702u
,,104.2k,597.9812u
,,104.22k,595.9669u
,,104.24k,588.9764u
,,104.26k,575.2014u
,,104.28k,561.4863u
,,104.3k,555.4322u
,,104.32k,554.3356u
,,104.34k,554.2746u
,,104.36k,554.0268u
,,104.38k,549.9134u
,,104.4k,540.5531u
,,104.42k,531.4532u
,,104.44k,522.4068u
,,104.46k,515.0579u
,,104.48k,513.4524u
,,104.5k,515.8753u
,,104.52k,518.5666u
,,104.54k,518.2881u
,,104.56k,515.2838u
,,104.58k,507.4618u
,,104.6k,494.3336u
,,104.62k,484.8533u
,,104.64k,486.3041u
,,104.66k,491.7755u
,,104.68k,493.6265u
,,104.7k,491.7556u
,,104.72k,484.6923u
,,104.74k,476.0422u
,,104.76k,474.8243u
,,104.78k,476.3395u
,,104.8k,471.8742u
,,104.82k,466.5752u
,,104.84k,467.3146u
,,104.86k,471.8152u
,,104.88k,472.2678u
,,104.9k,466.5306u
,,104.92k,462.2593u
,,104.94k,458.8592u
,,104.96k,448.5232u
,,104.98k,439.1654u
,,105k,438.131u
,,105.02k,439.1548u
,,105.04k,435.0129u
,,105.06k,430.8431u
,,105.08k,436.1778u
,,105.1k,438.6425u
,,105.12k,430.4635u
,,105.14k,425.5977u
,,105.16k,424.5571u
,,105.18k,422.6785u
,,105.2k,423.4621u
,,105.22k,423.4707u
,,105.24k,419.1321u
,,105.26k,410.7663u
,,105.28k,404.6911u
,,105.3k,406.1065u
,,105.32k,410.0815u
,,105.34k,412.5796u
,,105.36k,413.2469u
,,105.38k,407.8054u
,,105.4k,397.0077u
,,105.42k,390.9538u
,,105.44k,393.3138u
